prog_name_en,recipient_city,agreement_value,Total,,
Business Scale-Up,Arnprior,6179750,89802988,,87125488
Business Scale-Up,Bolton,750000,,,2677500
Business Scale-Up,Brantford,4112200,,,
Business Scale-Up,Burlington,2151187,,,
Business Scale-Up,Cambridge,1846437,,,
Business Scale-Up,Fergus,1471925,,,
Business Scale-Up,Georgetown,534858,,,
Business Scale-Up,Guelph,2500000,,,
Business Scale-Up,Hamilton,5490750,,,
Business Scale-Up,Kitchener,4800000,,,
Business Scale-Up,Maidstone,1207094,,,
Business Scale-Up,Mississauga,2752500,,,
Business Scale-Up,North York (Toronto),2000000,,,
Business Scale-Up,Oakville,1452500,,,
Business Scale-Up,Orangeville,5600000,,,
Business Scale-Up,Ottawa,2906365,,,
Business Scale-Up,Toronto,9329000,,,
Business Scale-Up,Vaughan,3000000,,,
Business Scale-Up,Vaughan ,3000000,,,
Business Scale-Up,Waterloo,17660550,,,
Business Scale-Up,Windsor,8380372,,,
Business Scale-Up ,Kingston,2677500,,,
CED & Diversification,Bancroft,750000,117961782,,
CED & Diversification,Belleville,750000,,,
CED & Diversification,Brockville,750000,,,
CED & Diversification,Cobourg,4500000,,,
CED & Diversification,Cornwall,750000,,,
CED & Diversification,Deseronto,5800000,,,
CED & Diversification,Elmira,2100000,,,
CED & Diversification,Haliburton,750000,,,
CED & Diversification,Harrowmsith,750000,,,
CED & Diversification,Hawkesbury,750000,,,
CED & Diversification,Keswick,750000,,,
CED & Diversification,Lindsay,750000,,,
CED & Diversification,Niagara Falls,2999131,,,
CED & Diversification,Niagara-on-the-Lake,5000000,,,
CED & Diversification,Norwich,1903376,,,
CED & Diversification,Peterborough,750000,,,
CED & Diversification,Picton,750000,,,
CED & Diversification,Prescott,750000,,,
CED & Diversification,Renfrew,750000,,,
CED & Diversification,Sarnia,15000000,,,
CED & Diversification,Sault Ste. Marie,60000000,,,
CED & Diversification,Smiths Falls,750000,,,
CED & Diversification,St. Catharines,5000000,,,
CED & Diversification,Toronto,159275,,,
CED & Diversification,Windsor,5000000,,,
Canada 150 - Community Infrastructure Program,Oakville,0,,,
Canadian Experience Fund - Regional,Amherstburg,250000,9590935,,
Canadian Experience Fund - Regional,Barrie,385000,,,
Canadian Experience Fund - Regional,Bath,75000,,,
Canadian Experience Fund - Regional,Caledon,50000,,,
Canadian Experience Fund - Regional,Carp,400000,,,
Canadian Experience Fund - Regional,Clayton,60000,,,
Canadian Experience Fund - Regional,Cobourg,340000,,,
Canadian Experience Fund - Regional,Coe Hill,50000,,,
Canadian Experience Fund - Regional,East Gwillimbury,35000,,,
Canadian Experience Fund - Regional,Eganville,38700,,,
Canadian Experience Fund - Regional,Elora,50000,,,
Canadian Experience Fund - Regional,Essex,600000,,,
Canadian Experience Fund - Regional,Griffith,8000,,,
Canadian Experience Fund - Regional,Guelph,38400,,,
Canadian Experience Fund - Regional,Haliburton,375000,,,
Canadian Experience Fund - Regional,Hillier,100000,,,
Canadian Experience Fund - Regional,Kent Bridge,88500,,,
Canadian Experience Fund - Regional,L'Orignal,350000,,,
Canadian Experience Fund - Regional,LaSalle,70000,,,
Canadian Experience Fund - Regional,London,339000,,,
Canadian Experience Fund - Regional,Lyndhurst,75000,,,
Canadian Experience Fund - Regional,Neyaashiinigmiing,250000,,,
Canadian Experience Fund - Regional,Niagara-on-the-Lake,34160,,,
Canadian Experience Fund - Regional,Ohsweken,600000,,,
Canadian Experience Fund - Regional,Ottawa,1000000,,,
Canadian Experience Fund - Regional,Pembroke,10285,,,
Canadian Experience Fund - Regional,Penetanguishene,50000,,,
Canadian Experience Fund - Regional,Perth,44000,,,
Canadian Experience Fund - Regional,Picton,319850,,,
Canadian Experience Fund - Regional,Plantagenet,39000,,,
Canadian Experience Fund - Regional,Port Colborne,200000,,,
Canadian Experience Fund - Regional,Port Rowan,9000,,,
Canadian Experience Fund - Regional,Rockwood ,75000,,,
Canadian Experience Fund - Regional,STRATFORD,400000,,,
Canadian Experience Fund - Regional,Simcoe,25000,,,
Canadian Experience Fund - Regional,St-Albert,32000,,,
Canadian Experience Fund - Regional,St. Catharines,475000,,,
Canadian Experience Fund - Regional,St. Thomas,32500,,,
Canadian Experience Fund - Regional,Stirling,75000,,,
Canadian Experience Fund - Regional,Stratford,200000,,,
Canadian Experience Fund - Regional,Toronto,635000,,,
Canadian Experience Fund - Regional,Tweed,564000,,,
Canadian Experience Fund - Regional,Vankleek Hill,60000,,,
Canadian Experience Fund - Regional,Welland,500000,,,
Canadian Experience Fund - Regional,Windsor,41540,,,
Canadian Experience Fund - Regional,Woodstock,67000,,,
Canadian Experience Fund - Regional,Wyebridge,75000,,,
Canadian Experiences Fund - National,Belleville,100000,2449710,,
Canadian Experiences Fund - National,Ottawa,1349710,,,
Canadian Experiences Fund - National,Toronto,1000000,,,
Community Futures Program-Southern Ontario,Cobourg,1747299,6788645,,
Community Futures Program-Southern Ontario,Neustadt,1221624,,,
Community Futures Program-Southern Ontario,Picton,2214908,,,
Community Futures Program-Southern Ontario,Simcoe,1604814,,,
Ontario Community Futures Program-Southern Ontario,Cornwall,1844398,2544398,,
Ontario Community Futures Program-Southern Ontario,Port Colborne,700000,,,
Regional Innovation Ecosystem,Guelph,6296000,81648740,,
Regional Innovation Ecosystem,Kitchener,3000000,,,
Regional Innovation Ecosystem,Markham,5000000,,,
Regional Innovation Ecosystem,Mississauga,3500000,,,
Regional Innovation Ecosystem,Toronto,63852740,,,
Steel and Aluminum Initiative,Barrie,453321,24518321,,
Steel and Aluminum Initiative,Blenheim,322000,,,
Steel and Aluminum Initiative,Brampton,2200000,,,
Steel and Aluminum Initiative,Burlington,800000,,,
Steel and Aluminum Initiative,Cambridge,250000,,,
Steel and Aluminum Initiative,Cambridge ,400000,,,
Steel and Aluminum Initiative,Cathcart,510000,,,
Steel and Aluminum Initiative,Chatham,800000,,,
Steel and Aluminum Initiative,Concord,1467500,,,
Steel and Aluminum Initiative,Eden,827500,,,
Steel and Aluminum Initiative,Elmira,690000,,,
Steel and Aluminum Initiative,Goderich,440000,,,
Steel and Aluminum Initiative,Guelph,600000,,,
Steel and Aluminum Initiative,Guelph ,450000,,,
Steel and Aluminum Initiative,Hamilton,800000,,,
Steel and Aluminum Initiative,Kingston,200000,,,
Steel and Aluminum Initiative,Kitchener,800000,,,
Steel and Aluminum Initiative,Leamington,1470000,,,
Steel and Aluminum Initiative,London,180000,,,
Steel and Aluminum Initiative,Mississauga,2485000,,,
Steel and Aluminum Initiative,Norwich,490000,,,
Steel and Aluminum Initiative,Oldcastle,1605000,,,
Steel and Aluminum Initiative,Ottawa,199000,,,
Steel and Aluminum Initiative,Plantagenet,485000,,,
Steel and Aluminum Initiative,Scarborough,280000,,,
Steel and Aluminum Initiative,St. Catharines,180000,,,
Steel and Aluminum Initiative,Stoney Creek,985000,,,
Steel and Aluminum Initiative,Stratford,400000,,,
Steel and Aluminum Initiative,Thorndale,225000,,,
Steel and Aluminum Initiative,Toronto,520000,,,
Steel and Aluminum Initiative,Vineland Station,169000,,,
Steel and Aluminum Initiative,Waterloo,750000,,,
Steel and Aluminum Initiative,Windsor,1505000,,,
Steel and Aluminum Initiative,Windsor ,580000,,,
WES Ecosystem Fund (National),Ottawa,1200000,5454836,,
WES Ecosystem Fund (National),Toronto,4254836,,,
WES Ecosystem Fund (Regional),Bancroft,266250,20665844,,
WES Ecosystem Fund (Regional),Burlington,307800,,,
WES Ecosystem Fund (Regional),Cobourg,1436500,,,
WES Ecosystem Fund (Regional),Guelph,1879983,,,
WES Ecosystem Fund (Regional),Hamilton,1015641,,,
WES Ecosystem Fund (Regional),Hawkesbury,955128,,,
WES Ecosystem Fund (Regional),Kingston,823000,,,
WES Ecosystem Fund (Regional),London,3585303,,,
WES Ecosystem Fund (Regional),Markham,1716835,,,
WES Ecosystem Fund (Regional),Sarnia,337000,,,
WES Ecosystem Fund (Regional),Toronto,6265404,,,
WES Ecosystem Fund (Regional),Waterloo,1385000,,,
WES Ecosystem Fund (Regional),Windsor,692000,,,
Women Entrepreneurship Fund,Ajax,100000,7100010,,
Women Entrepreneurship Fund,Alexandria,100000,,,
Women Entrepreneurship Fund,Aylmer,100000,,,
Women Entrepreneurship Fund,BELLEVILLE,84306,,,
Women Entrepreneurship Fund,Bailieboro,100000,,,
Women Entrepreneurship Fund,Barrie,24520,,,
Women Entrepreneurship Fund,Brampton,100000,,,
Women Entrepreneurship Fund,Brantford,100000,,,
Women Entrepreneurship Fund,CARLETON PLACE,98000,,,
Women Entrepreneurship Fund,Cambridge,100000,,,
Women Entrepreneurship Fund,Chalk River,100000,,,
Women Entrepreneurship Fund,Chatham,100000,,,
Women Entrepreneurship Fund,Collingwood,200000,,,
Women Entrepreneurship Fund,Dundas,100000,,,
Women Entrepreneurship Fund,Flesherton,100000,,,
Women Entrepreneurship Fund,Guelph,200000,,,
Women Entrepreneurship Fund,Haliburton,95000,,,
Women Entrepreneurship Fund,Hamilton,100000,,,
Women Entrepreneurship Fund,Kanata,100000,,,
Women Entrepreneurship Fund,Kingston,89460,,,
Women Entrepreneurship Fund,Kitchener,300000,,,
Women Entrepreneurship Fund,L'Orignal,100000,,,
Women Entrepreneurship Fund,London,167366,,,
Women Entrepreneurship Fund,Loretto,100000,,,
Women Entrepreneurship Fund,Markham,100000,,,
Women Entrepreneurship Fund,Meaford,100000,,,
Women Entrepreneurship Fund,Mississauga,400000,,,
Women Entrepreneurship Fund,Mono,100000,,,
Women Entrepreneurship Fund,New Dundee,99900,,,
Women Entrepreneurship Fund,Newmarket,100000,,,
Women Entrepreneurship Fund,North York,100000,,,
Women Entrepreneurship Fund,Oakville,200000,,,
Women Entrepreneurship Fund,Ottawa,200000,,,
Women Entrepreneurship Fund,Paisley,100000,,,
Women Entrepreneurship Fund,Penetanguishene,100000,,,
Women Entrepreneurship Fund,Peterborough,200000,,,
Women Entrepreneurship Fund,Picton,100000,,,
Women Entrepreneurship Fund,Point Edward,100000,,,
Women Entrepreneurship Fund,Puslinch,100000,,,
Women Entrepreneurship Fund,Richmond Hill,100000,,,
Women Entrepreneurship Fund,STONEY CREEK,100000,,,
Women Entrepreneurship Fund,Smiths Falls,100000,,,
Women Entrepreneurship Fund,St. Catharines,100000,,,
Women Entrepreneurship Fund,St. Thomas,96458,,,
Women Entrepreneurship Fund,Stratford,100000,,,
Women Entrepreneurship Fund,Thornhill,100000,,,
Women Entrepreneurship Fund,Toronto,1245000,,,
Women Entrepreneurship Fund,Waterloo,100000,,,
Women Entrepreneurship Fund,Whitby,100000,,,
Women Entrepreneurship Fund,Windsor,100000,,,