prog_name_en,agreement_value
Business Scale-Up,87125488
Business Scale-Up ,2677500
CED & Diversification,117961782
Canada 150 - Community Infrastructure Program,0
Canadian Experience Fund - Regional,9590935
Canadian Experiences Fund - National,2449710
Community Futures Program-Southern Ontario,6788645
Ontario Community Futures Program-Southern Ontario,2544398
Regional Innovation Ecosystem,81648740
Steel and Aluminum Initiative,24518321
WES Ecosystem Fund (National),5454836
WES Ecosystem Fund (Regional),20665844
Women Entrepreneurship Fund,7100010